attribute,rho_with_frac_snow,pvalue,significant
dpsbar,0.41044197123571763,3.1387964291341533e-26,True
log_high_prec_freq,-0.404740229723974,1.7371941880206838e-25,True
aridity,-0.3465066333528131,1.121004513886896e-18,True
no_gw_perc,0.31815212994054004,7.727985605766787e-16,True
runoff_ratio,0.276348473803243,3.58224348242883e-12,True
p_mean,0.24227688234953035,1.3027733323234035e-09,True
frac_high_perc,-0.19923214865317854,6.88882047224025e-07,True
log_area,0.16107885746573677,6.344773458887156e-05,True
baseflow_index,-0.13272854092861994,0.0010065772192323957,True
frac_low_perc,0.12742004521989236,0.001599241630333897,True
p_seasonality,-0.08099877268561105,0.045354615367307755,True
log_low_q_freq,0.025123829388475412,0.5353582811137072,False
log_high_q_freq,0.007912120209214283,0.8452538911863342,False
slope_fdc,-0.007531892919409971,0.8527230764646799,False
