rcp,delta_metric,rho,pvalue,n,significant
rcp26,delta_gap,0.4687065689860579,8.38854822716233e-35,613,True
rcp26,delta_freq,-0.4013932380236314,3.912079457128639e-25,613,True
rcp26,delta_recovery_rate,-0.42066759225678346,1.1027281403294573e-27,613,True
rcp26,delta_drought_dur,-0.25729526342417525,1.0029272464673913e-10,613,True
rcp26,delta_flood_peak,-0.35429022043959285,1.4418872936030808e-19,613,True
rcp26,delta_sm_drought_end,-0.09193650304375996,0.02282101905438819,613,True
rcp26,delta_sm_flood_onset,-0.012886403296428572,0.7501706392825358,613,False
rcp45,delta_gap,0.38527426613057336,5.08233878143643e-23,610,True
rcp45,delta_freq,-0.4011703385047722,5.4487083277545915e-25,610,True
rcp45,delta_recovery_rate,-0.30762730833998614,7.756938593800224e-15,610,True
rcp45,delta_drought_dur,-0.3246677703832854,1.9335538978919042e-16,610,True
rcp45,delta_flood_peak,-0.3223718119657283,3.2241143830006025e-16,610,True
rcp45,delta_sm_drought_end,-0.14370618440693517,0.0003701523782944177,610,True
rcp45,delta_sm_flood_onset,-0.06277337487808683,0.12144528504344897,610,False
rcp60,delta_gap,0.48995647813241977,2.8501723316405044e-38,612,True
rcp60,delta_freq,-0.42389228538393864,4.393519503089183e-28,612,True
rcp60,delta_recovery_rate,-0.3434951371706312,2.1757466946572577e-18,612,True
rcp60,delta_drought_dur,-0.28013401158112966,1.6921003875673898e-12,612,True
rcp60,delta_flood_peak,-0.3752772530105979,6.670831677947343e-22,612,True
rcp60,delta_sm_drought_end,-0.18444238078706382,4.369471869329523e-06,612,True
rcp60,delta_sm_flood_onset,-0.00601046299893448,0.8820365705202011,612,False
rcp85,delta_gap,0.49804560422635674,1.2873482231763649e-39,611,True
rcp85,delta_freq,-0.4088265437431251,5.113907300353214e-26,611,True
rcp85,delta_recovery_rate,-0.3753648856605883,7.035029464332717e-22,611,True
rcp85,delta_drought_dur,-0.2457628365489887,7.408672607661236e-10,611,True
rcp85,delta_flood_peak,-0.3379814763362098,8.594619436677944e-18,611,True
rcp85,delta_sm_drought_end,-0.23218597256441134,6.357939953432258e-09,611,True
rcp85,delta_sm_flood_onset,-0.07860026161022339,0.05214916000364965,611,False
