rcp,metric,n,morans_i,p_value
rcp26,delta_gap,613,0.36214276966123343,0.001
rcp26,delta_freq,613,0.4588650728670948,0.001
rcp26,delta_recovery_rate,613,0.31095669185778263,0.001
rcp26,delta_drought_dur,613,0.39670245069354776,0.001
rcp26,delta_flood_peak,613,0.42239054129806475,0.001
rcp26,delta_sm_drought_end,613,0.11508434511980731,0.001
rcp26,delta_sm_flood_onset,613,0.1282327221389211,0.001
rcp45,delta_gap,610,0.28490964196173396,0.001
rcp45,delta_freq,610,0.48419451218225623,0.001
rcp45,delta_recovery_rate,610,0.27519599665622113,0.001
rcp45,delta_drought_dur,610,0.4901106059033913,0.001
rcp45,delta_flood_peak,610,0.4692073047547977,0.001
rcp45,delta_sm_drought_end,610,0.1687487798869192,0.001
rcp45,delta_sm_flood_onset,610,0.18215922054714637,0.001
rcp60,delta_gap,612,0.33271184615815297,0.001
rcp60,delta_freq,612,0.39888673120258916,0.001
rcp60,delta_recovery_rate,612,0.27446075005578724,0.001
rcp60,delta_drought_dur,612,0.4294165781412083,0.001
rcp60,delta_flood_peak,612,0.4594295316679747,0.001
rcp60,delta_sm_drought_end,612,0.18351847834707807,0.001
rcp60,delta_sm_flood_onset,612,0.14243578036316992,0.001
rcp85,delta_gap,611,0.3496943624728138,0.001
rcp85,delta_freq,611,0.4636262787692708,0.001
rcp85,delta_recovery_rate,611,0.27977080955992883,0.001
rcp85,delta_drought_dur,611,0.4715912635982334,0.001
rcp85,delta_flood_peak,611,0.49872654682517403,0.001
rcp85,delta_sm_drought_end,611,0.22379983281457047,0.001
rcp85,delta_sm_flood_onset,611,0.23511024936887098,0.001
