gauge_id,cluster_kmeans,cluster_ward,extremity,delta_gap,delta_sm_drought_end,delta_freq,delta_recovery_rate
28015,0,1,11.148202086080097,7.5,-6.558199999999999,0.06149425287356322,-1.174254810924368
76007,0,1,10.649585032316972,-2.5,-42.928225,-0.06896551724137923,0.8764901364789566
33029,0,1,8.515830454472052,12.25,3.98275000000001,0.09597701149425289,-0.6540443899628401
27043,0,1,8.16589592847785,3.5,-32.48954999999998,-0.3982758620689655,1.0034596509286224
39049,0,1,7.804097069482679,-0.25,-35.386199999999974,-0.2982758620689656,0.900104374999998
28072,0,1,6.992010037470807,15.25,-6.915424999999999,0.05402298850574716,-0.30263572163808883
21023,0,1,5.9774832516803915,12.5,-0.7122500000000009,-0.1206896551724137,-0.37708615733225126
38014,0,1,5.422368814456369,-0.75,-33.233374999999995,-0.03275862068965507,0.5944211001237245
29003,0,1,5.073889070365956,12.5,-1.4111500000000206,0.07816091954022988,-0.17985172580081987
36003,0,1,4.848396416705512,11.0,0.9388250000000085,-0.04597701149425287,-0.2822943353791405
54096,0,1,4.453935468071812,7.75,-23.63665000000003,-0.08735632183908049,-0.07196096411314867
37019,0,1,4.370963152344729,4.5,-28.243699999999976,-0.2091954022988507,0.47070063678923324
33019,0,1,4.226173251633953,10.25,0.7020749999999794,0.13965517241379305,-0.14336716446361342
24005,0,1,4.194139320565355,11.5,-6.552550000000011,-0.1040229885057471,-0.16315761330737688
74007,0,1,4.00129654180138,-2.75,-8.131274999999999,-0.5574712643678166,0.9974052299552307
28085,0,1,3.9340047859712195,9.0,-22.44002499999999,-0.04022988505747116,0.312611847793109
55008,0,1,3.8011903606783797,1.25,-1.7558750000000032,-0.6885057471264364,0.4633045238095237
28040,0,1,3.694977565969209,2.0,-28.054025000000024,-0.15459770114942534,0.27164710380642587
23001,0,1,3.454065791447802,7.25,-22.281299999999987,-0.20747126436781604,0.3515255854838524
39052,0,1,3.36811695409647,8.0,-21.33004999999997,-0.11494252873563215,0.2527543669001333
65001,0,1,3.3617210179265706,-3.25,-3.9677499999999988,-0.5896551724137935,0.7910387443438913
33034,0,1,3.349947013995574,8.75,-1.8522999999999854,0.0735632183908046,-0.17335169027037267
58008,0,1,3.117982420851865,0.5,-4.394874999999999,-0.6477011494252873,0.32563714177978875
34004,0,1,3.057488437052228,9.75,-0.16380000000003747,-0.028735632183908066,0.014160192046515974
21003,0,1,3.0464528459834908,8.5,-17.213025000000016,0.0367816091954023,0.10938201740313325
