gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
1001,ftd,117,88,29,14
1001,dtf,76,46,29,5
2001,ftd,153,122,30,15
2001,dtf,78,47,31,2
2002,ftd,166,130,35,7
2002,dtf,102,66,36,3
3003,ftd,247,200,46,2
3003,dtf,135,89,46,0
4001,ftd,106,74,31,21
4001,dtf,68,37,31,6
4003,ftd,148,114,33,24
4003,dtf,71,37,34,1
4005,ftd,207,168,38,15
4005,dtf,114,75,39,0
4006,ftd,209,169,39,7
4006,dtf,125,86,39,1
5003,ftd,94,63,31,26
5003,dtf,93,61,31,8
6007,ftd,119,87,32,16
6007,dtf,89,57,31,3
6008,ftd,176,139,36,12
6008,dtf,86,50,36,3
7001,ftd,205,157,48,12
7001,dtf,114,66,47,4
7002,ftd,179,133,46,9
7002,dtf,108,62,45,3
7003,ftd,103,74,29,8
7003,dtf,114,84,29,6
7005,ftd,142,109,33,14
7005,dtf,89,55,33,0
7006,ftd,134,82,52,5
7006,dtf,181,128,52,4
8004,ftd,146,98,48,9
8004,dtf,129,81,47,3
8005,ftd,107,75,32,12
8005,dtf,98,65,32,4
8006,ftd,115,74,41,9
8006,dtf,126,84,41,5
8009,ftd,182,139,43,8
8009,dtf,115,72,42,0
8011,ftd,135,94,41,8
8011,dtf,120,79,40,1
8013,ftd,193,149,44,6
8013,dtf,131,87,43,1
9002,ftd,112,77,35,5
9002,dtf,130,95,34,3
9003,ftd,94,69,25,14
9003,dtf,69,43,25,1
9004,ftd,80,54,26,11
9004,dtf,65,38,26,6
9005,ftd,173,127,46,6
9005,dtf,153,107,45,3
10002,ftd,122,92,30,6
10002,dtf,109,79,29,2
10003,ftd,97,70,27,9
10003,dtf,62,35,26,4
11001,ftd,90,64,26,9
11001,dtf,69,43,25,2
11003,ftd,97,65,32,12
11003,dtf,89,56,32,3
11004,ftd,79,54,25,12
11004,dtf,51,26,24,5
12001,ftd,136,96,40,12
12001,dtf,117,77,39,1
12002,ftd,131,98,33,8
12002,dtf,113,80,32,0
12005,ftd,159,108,51,12
12005,dtf,112,61,50,1
12006,ftd,159,109,50,8
12006,dtf,124,74,49,0
12007,ftd,198,145,53,9
12007,dtf,127,74,52,1
12008,ftd,151,113,38,12
12008,dtf,68,30,37,0
12009,ftd,197,150,47,11
12009,dtf,109,62,46,0
13001,ftd,132,103,29,12
13001,dtf,63,34,28,0
13004,ftd,158,122,36,16
13004,dtf,101,65,35,0
13005,ftd,122,93,29,18
13005,dtf,69,40,28,3
13007,ftd,159,123,36,12
13007,dtf,105,69,35,0
13008,ftd,152,122,30,12
13008,dtf,91,61,29,0
14001,ftd,121,92,29,15
14001,dtf,70,40,29,3
14002,ftd,100,72,28,23
14002,dtf,54,25,28,3
14005,ftd,77,52,25,18
14005,dtf,56,30,25,6
15006,ftd,121,88,33,14
15006,dtf,95,62,32,4
15007,ftd,116,84,32,15
15007,dtf,111,79,31,1
15010,ftd,127,95,32,10
15010,dtf,105,72,32,0
15011,ftd,191,150,41,17
15011,dtf,120,78,41,0
15012,ftd,108,76,32,18
15012,dtf,97,65,31,3
15013,ftd,177,146,31,21
15013,dtf,64,33,30,0
15014,ftd,200,153,47,8
15014,dtf,139,92,46,0
15016,ftd,143,106,36,12
15016,dtf,110,74,36,5
15021,ftd,54,30,24,20
15021,dtf,42,17,24,0
15023,ftd,171,140,31,21
15023,dtf,56,25,30,0
15024,ftd,226,190,35,2
15024,dtf,102,67,35,1
15025,ftd,164,123,41,10
15025,dtf,124,83,40,1
15030,ftd,110,81,29,18
15030,dtf,58,28,29,4
15039,ftd,217,160,57,6
15039,dtf,128,71,56,1
16001,ftd,166,135,31,18
16001,dtf,85,54,30,1
16003,ftd,265,219,45,4
16003,dtf,109,64,45,0
16004,ftd,153,123,30,15
16004,dtf,102,72,29,3
17001,ftd,207,170,37,23
17001,dtf,109,71,37,0
17003,ftd,193,161,32,13
17003,dtf,130,97,32,0
17004,ftd,128,98,30,10
17004,dtf,78,47,30,3
17005,ftd,199,167,32,16
17005,dtf,107,75,31,0
17015,ftd,191,152,39,11
17015,dtf,118,79,38,1
17018,ftd,157,128,29,11
17018,dtf,76,46,29,1
18001,ftd,206,172,34,14
18001,dtf,111,77,33,1
18002,ftd,168,134,34,25
18002,dtf,82,47,34,0
18003,ftd,175,145,29,14
18003,dtf,82,53,29,1
18008,ftd,202,154,47,2
18008,dtf,138,91,47,1
18010,ftd,166,131,34,7
18010,dtf,111,77,34,0
18011,ftd,166,136,30,18
18011,dtf,78,47,30,2
18014,ftd,189,159,30,19
18014,dtf,96,65,30,0
18017,ftd,241,180,60,9
18017,dtf,128,68,60,5
18018,ftd,195,150,44,3
18018,dtf,145,101,44,1
19001,ftd,176,147,29,12
19001,dtf,98,68,29,0
19006,ftd,152,122,30,14
19006,dtf,56,26,29,1
19010,ftd,159,126,33,13
19010,dtf,80,46,33,1
19017,ftd,136,107,29,16
19017,dtf,66,36,29,1
19020,ftd,246,198,48,3
19020,dtf,118,70,47,3
