gauge_id,direction,total_precursor_events,superseded,consumed,consumed_but_gap_excluded
1001,ftd,149,121,28,16
1001,dtf,64,36,27,2
2001,ftd,186,156,29,15
2001,dtf,67,38,29,2
2002,ftd,196,146,49,5
2002,dtf,112,63,49,2
3003,ftd,226,171,54,2
3003,dtf,128,74,54,1
4001,ftd,100,68,32,17
4001,dtf,82,50,31,10
4003,ftd,172,137,34,16
4003,dtf,75,41,34,0
4005,ftd,219,169,49,12
4005,dtf,124,75,49,0
4006,ftd,194,145,48,2
4006,dtf,138,90,48,0
5003,ftd,86,57,29,20
5003,dtf,106,77,28,5
6007,ftd,106,74,32,10
6007,dtf,105,73,31,5
6008,ftd,182,139,42,7
6008,dtf,84,42,42,7
7001,ftd,212,147,64,4
7001,dtf,118,54,64,4
7002,ftd,174,118,55,8
7002,dtf,104,49,55,3
7003,ftd,135,98,36,5
7003,dtf,107,71,36,1
7005,ftd,155,119,35,10
7005,dtf,82,47,35,1
7006,ftd,170,98,71,5
7006,dtf,140,69,71,2
8004,ftd,180,124,55,7
8004,dtf,119,64,55,2
8005,ftd,114,84,30,13
8005,dtf,87,56,30,4
8006,ftd,146,99,47,6
8006,dtf,121,74,46,1
8009,ftd,186,138,48,10
8009,dtf,104,56,47,6
8011,ftd,180,133,46,5
8011,dtf,107,61,46,1
8013,ftd,192,129,63,8
8013,dtf,131,68,62,2
9002,ftd,148,109,38,9
9002,dtf,101,63,38,0
9003,ftd,145,117,27,18
9003,dtf,46,19,27,2
9004,ftd,113,85,28,16
9004,dtf,61,33,27,1
9005,ftd,201,142,58,8
9005,dtf,135,77,58,0
10002,ftd,129,98,31,12
10002,dtf,80,49,30,3
10003,ftd,107,80,27,14
10003,dtf,58,31,26,2
11001,ftd,105,75,30,13
11001,dtf,70,40,29,3
11003,ftd,116,78,38,15
11003,dtf,77,39,37,4
11004,ftd,89,64,25,16
11004,dtf,49,24,24,4
12001,ftd,126,75,51,10
12001,dtf,116,65,50,4
12002,ftd,120,79,41,11
12002,dtf,92,51,40,4
12005,ftd,159,102,56,10
12005,dtf,116,60,56,1
12006,ftd,174,119,55,8
12006,dtf,115,60,54,0
12007,ftd,184,113,70,3
12007,dtf,133,63,70,4
12008,ftd,152,112,40,12
12008,dtf,73,33,39,2
12009,ftd,199,145,54,8
12009,dtf,111,57,53,0
13001,ftd,131,103,28,16
13001,dtf,73,45,27,3
13004,ftd,148,109,39,9
13004,dtf,96,57,38,2
13005,ftd,106,79,27,13
13005,dtf,58,31,26,6
13007,ftd,152,114,38,10
13007,dtf,85,47,37,2
13008,ftd,128,91,37,8
13008,dtf,86,49,36,5
14001,ftd,116,89,27,13
14001,dtf,61,34,26,7
14002,ftd,96,72,24,16
14002,dtf,49,25,23,8
14005,ftd,92,71,21,16
14005,dtf,49,28,20,4
15006,ftd,107,74,33,13
15006,dtf,97,64,32,5
15007,ftd,101,67,34,9
15007,dtf,106,71,34,8
15010,ftd,123,88,35,11
15010,dtf,100,65,34,3
15011,ftd,155,122,32,12
15011,dtf,86,54,32,5
15012,ftd,100,65,34,7
15012,dtf,114,79,35,4
15013,ftd,172,139,32,12
15013,dtf,57,25,32,4
15014,ftd,200,144,55,7
15014,dtf,128,73,55,1
15016,ftd,113,72,40,5
15016,dtf,125,85,40,5
15021,ftd,47,24,23,20
15021,dtf,51,28,22,5
15023,ftd,158,125,32,14
15023,dtf,59,27,32,3
15024,ftd,199,152,46,6
15024,dtf,112,66,46,4
15025,ftd,166,121,45,8
15025,dtf,118,73,44,2
15030,ftd,104,76,28,14
15030,dtf,63,35,27,5
15039,ftd,223,148,74,2
15039,dtf,141,67,74,4
16001,ftd,129,95,33,13
16001,dtf,81,48,33,5
16003,ftd,243,190,52,6
16003,dtf,105,53,52,2
16004,ftd,133,100,33,10
16004,dtf,100,67,32,5
17001,ftd,201,163,37,11
17001,dtf,86,49,37,0
17003,ftd,199,166,32,5
17003,dtf,106,74,32,2
17004,ftd,115,86,29,13
17004,dtf,88,59,28,5
17005,ftd,185,147,37,9
17005,dtf,111,74,37,1
17015,ftd,186,138,47,3
17015,dtf,107,60,47,3
17018,ftd,149,123,26,11
17018,dtf,61,35,25,4
18001,ftd,174,137,36,7
18001,dtf,95,59,36,3
18002,ftd,152,121,30,16
18002,dtf,69,39,30,2
18003,ftd,144,111,32,11
18003,dtf,83,51,32,2
18008,ftd,160,103,56,5
18008,dtf,146,90,56,4
18010,ftd,137,93,43,8
18010,dtf,136,93,43,2
18011,ftd,140,109,30,14
18011,dtf,76,46,30,4
18014,ftd,179,150,28,10
18014,dtf,87,59,28,1
18017,ftd,239,153,85,7
18017,dtf,138,53,85,5
18018,ftd,179,126,53,3
18018,dtf,152,99,52,5
19001,ftd,164,132,32,7
19001,dtf,90,58,31,1
19006,ftd,142,114,28,12
19006,dtf,57,29,27,3
19010,ftd,147,115,31,14
19010,dtf,69,38,31,2
19017,ftd,135,109,26,15
19017,dtf,60,34,25,2
19020,ftd,239,171,67,5
