target,rcp,snow_metric,rho,pvalue,n,significant
f2d,rcp26,delta_mean_sp,-0.27530361562712174,2.2621024021165566e-11,570,True
f2d,rcp26,delta_max_sp,-0.1500193266245283,0.0003254403318699347,570,True
d2f,rcp26,delta_mean_sp,-0.528849317229131,1.8085943920995417e-45,613,True
d2f,rcp26,delta_max_sp,-0.409123488399291,3.8870275047359094e-26,613,True
f2d,rcp45,delta_mean_sp,-0.14486402167146986,0.000515902360735632,571,True
f2d,rcp45,delta_max_sp,-0.06018978040278947,0.15088227449368927,571,False
d2f,rcp45,delta_mean_sp,-0.4612863028306237,1.8014266995144362e-33,610,True
d2f,rcp45,delta_max_sp,-0.3654937174073571,1.0257012523640258e-20,610,True
f2d,rcp60,delta_mean_sp,-0.329800541606275,4.685321029575775e-16,575,True
f2d,rcp60,delta_max_sp,-0.2501537654141292,1.1840477161183673e-09,575,True
d2f,rcp60,delta_mean_sp,-0.49751648660906167,1.3824657906526421e-39,612,True
d2f,rcp60,delta_max_sp,-0.40580095142075706,1.1568319980619252e-25,612,True
f2d,rcp85,delta_mean_sp,-0.42220212195431966,2.648258790236578e-26,576,True
f2d,rcp85,delta_max_sp,-0.34814721318575,7.425940251279753e-18,576,True
d2f,rcp85,delta_mean_sp,-0.5253820007968685,1.1823127369489335e-44,611,True
d2f,rcp85,delta_max_sp,-0.46474468744434133,4.581674480483726e-34,611,True
