metric,country,n,median,q25,q75
delta_gap,England,347,4.5,0.0,9.125
delta_gap,Scotland,164,4.5,1.4375,8.0
delta_gap,Wales,60,0.25,-1.75,4.0
delta_freq,England,347,0.0373563218390805,-0.048850574712643646,0.09367816091954026
delta_freq,Scotland,164,-0.22816091954022988,-0.4456896551724137,-0.08491379310344821
delta_freq,Wales,60,-0.09425287356321838,-0.4735632183908046,0.012356321839080454
delta_smdr,England,347,0.09299401285428077,0.023675282250480545,0.18540419993550217
delta_smdr,Scotland,164,0.05893634139677864,0.0251081145867078,0.09846725631342579
delta_smdr,Wales,60,0.07974985714141697,0.0281480558274588,0.1229751863157845
delta_drought_sev,England,347,0.7049300000000003,0.06226250000000005,3.721115
delta_drought_sev,Scotland,164,0.02046750000000014,-0.23186625,0.6311806249999998
delta_drought_sev,Wales,60,0.6438500000000003,0.11157375000000003,2.3596656250000008
delta_drought_dur,England,347,9.0,1.625,45.625
delta_drought_dur,Scotland,164,0.625,-0.5,3.0
delta_drought_dur,Wales,60,2.125,0.4375,7.8125
delta_flood_peak,England,347,-0.014674999999999994,-0.19920000000000004,0.1653749999999996
delta_flood_peak,Scotland,164,-0.18312500000000043,-0.6251124999999993,0.29516875000000153
delta_flood_peak,Wales,60,0.4068624999999999,-0.16941249999999997,0.9371749999999999
delta_sm_drought,England,347,-8.968849999999989,-14.606574999999978,-5.5870874999999955
delta_sm_drought,Scotland,164,-5.748550000000002,-9.218900000000021,-3.6893562499999923
delta_sm_drought,Wales,60,-5.827600000000004,-7.9778187500000115,-3.665218750000003
delta_whiplash,England,347,0.0,0.0,1.0
delta_whiplash,Scotland,164,1.0,0.0,1.625
delta_whiplash,Wales,60,2.0,1.0,3.0
