attribute,rho_with_frac_snow,pvalue,significant
dpsbar,0.4186082082774777,7.657896508518304e-26,True
log_high_prec_freq,-0.39778892281400857,2.807666717269569e-23,True
aridity,-0.34870704200570807,6.527218590208441e-18,True
no_gw_perc,0.3095712006781054,2.936771016610237e-14,True
runoff_ratio,0.2767723639678458,1.374074474980437e-11,True
p_mean,0.2415890820926564,4.286177508310702e-09,True
frac_high_perc,-0.19617808733572173,2.093086517240415e-06,True
log_area,0.16713586279107534,5.555554648581339e-05,True
frac_low_perc,0.12180283035634182,0.0034134113000384415,True
baseflow_index,-0.11119088464608502,0.00756095822106805,True
p_seasonality,-0.1026615656317972,0.013699745626086732,True
slope_fdc,-0.027862721216498177,0.5048997991723646,False
log_high_q_freq,-0.022732431031775243,0.5861225311808843,False
log_low_q_freq,0.0027183745002447076,0.9480948703396139,False
