rcp,metric,n,morans_i,p_value
rcp26,delta_gap,570,0.2005774428311427,0.001
rcp26,delta_freq,570,0.4875450484585017,0.001
rcp26,delta_smdr,570,0.1227002053245464,0.001
rcp26,delta_sm_drought,570,0.1397404189304352,0.001
rcp26,delta_whiplash,570,0.4290136078517241,0.001
rcp26,delta_flood_peak,570,0.289992052998051,0.001
rcp26,delta_drought_sev,570,0.1613606922301174,0.001
rcp45,delta_gap,571,0.2076265137247339,0.001
rcp45,delta_freq,571,0.5142243143975022,0.001
rcp45,delta_smdr,571,0.0953322853542057,0.001
rcp45,delta_sm_drought,571,0.2267522246391681,0.001
rcp45,delta_whiplash,571,0.3572332815315914,0.001
rcp45,delta_flood_peak,571,0.2679618493449895,0.001
rcp45,delta_drought_sev,571,0.2334623632540137,0.001
rcp60,delta_gap,575,0.281859327153293,0.001
rcp60,delta_freq,575,0.4801121136076708,0.001
rcp60,delta_smdr,575,0.1698244744516439,0.001
rcp60,delta_sm_drought,575,0.1833142603058937,0.001
rcp60,delta_whiplash,575,0.4308850631121605,0.001
rcp60,delta_flood_peak,575,0.266438251882444,0.001
rcp60,delta_drought_sev,575,0.1857067032520659,0.001
rcp85,delta_gap,576,0.2936948300918745,0.001
rcp85,delta_freq,576,0.5647261097861709,0.001
rcp85,delta_smdr,576,0.1419595381645258,0.001
rcp85,delta_sm_drought,576,0.19136754167989367,0.001
rcp85,delta_whiplash,576,0.2831315329783337,0.001
rcp85,delta_flood_peak,576,0.4012787803247439,0.001
rcp85,delta_drought_sev,576,0.3340311004259604,0.001
